지번주소_구,지번주소_동,구면적,2024년06월_1인세대,2024년06월_2인세대,2024년06월_3인세대,2024년06월_4인세대,I 숙박 및 음식점업,Q 보건업 및 사회복지 서비스업,G 도매 및 소매업,20대,30대,40대,50대,60대,총인구 (명),인구 비율,인구 밀도,녹지개소,녹지면적
사하구,괴정동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,다대동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,다대동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,다대동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,당리동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,괴정동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,신평동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,괴정동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,장림동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,신평동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,장림동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,하단동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,연산동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
