역명,승차,하차,유휴공간_면적,유휴공간_수,선명,지번주소_구,지번주소_동,체력단련장수,대학수,원예학과수
강서구청,14410.5,13697.1,479.20000000000005,3,3,강서구,대저1동,42,0,0
개금,41032.5,39863.2,36.64,3,2,부산진구,개금동,155,1,0
거제,29321.0,29071.2,16.0,1,3,연제구,거제동,67,1,0
경성대부경대,79889.2,81822.2,1025.33,1,2,남구,대연동,81,2,0
광안,53577.6,57498.4,1109.2,12,2,수영구,광안동,65,0,0
괴정,44448.2,44404.9,75.56,3,1,사하구,괴정동,78,0,0
교대,68419.2,66153.9,22.77,2,1,연제구,거제동,67,1,0
구남,20906.2,20706.7,11.6,1,2,북구,구포동,56,0,0
구서,46728.9,44214.2,46.89,3,1,금정구,구서동,72,0,0
구포,15614.2,17144.9,34.89,1,3,북구,구포동,56,0,0
국제금융센터부산은행,22710.9,23688.0,34.0,1,2,남구,문현동,81,0,0
금련산,35903.1,37594.6,696.5,14,2,수영구,남천동,65,0,0
금사,9073.2,7978.0,16.49,1,4,금정구,금사동,72,0,0
낙민,8398.6,8565.2,12.63,1,4,동래구,낙민동,101,0,0
남산,26688.7,26002.6,31.6,1,1,금정구,남산동,72,1,0
남포,89108.3,93260.0,927.29,1,1,중구,남포동1가,29,0,0
낫개,23292.2,24031.3,24.33,1,1,사하구,다대동,78,0,0
냉정,28136.0,26108.6,13.5,1,2,사상구,주례동,46,1,0
당리,31190.1,32607.4,28.35,2,1,사하구,당리동,78,0,0
대연,47969.7,46704.2,225.03,4,2,남구,대연동,81,2,0
대저,40272.6,35505.5,138.65,1,3,강서구,대저1동,42,0,0
덕포,22903.8,21453.9,16.12,1,2,사상구,덕포동,46,0,0
동대신,33096.2,29015.1,17.259999999999998,2,1,서구,동대신동2가,28,0,0
동매,20254.2,18336.1,19.3,1,1,사하구,신평동,78,0,0
동원,7722.5,6554.0,13.95,1,2,북구,금곡동,56,0,0
동의대,33351.9,30617.1,25.1,1,2,부산진구,가야동,155,1,0
만덕,28766.3,30743.4,11.39,1,3,북구,만덕동,56,0,0
명륜,50224.4,51648.3,97.28999999999999,3,1,동래구,온천동,101,0,0
명장,14972.3,14488.3,10.92,1,4,동래구,명장동,101,0,0
모라,23391.1,21038.4,10.0,1,2,사상구,모라동,46,0,0
못골,23796.0,24534.6,14.4,1,2,남구,대연동,81,2,0
문현,24915.2,23547.5,15.54,1,2,남구,문현동,81,0,0
민락,17737.7,16865.0,620.0,1,2,수영구,민락동,65,0,0
반여농산물시장,9499.7,9800.2,41.91,1,4,해운대구,석대동,148,0,0
배산,20612.4,22035.0,9.11,1,3,연제구,연산동,67,0,0
범내골,47297.7,47042.7,37.53,1,1,부산진구,범천동,155,0,0
범어사,41289.0,33145.4,610.52,2,1,금정구,청룡동,72,0,0
범일,70871.4,72400.7,775.18,1,1,동구,범일동,20,0,0
벡스코,52618.7,49321.5,39.89,2,2,해운대구,우동,148,0,0
부산,111441.7,114912.7,138.84,4,1,동구,초량동,20,0,0
부산대,74263.2,75333.3,157.11,2,1,금정구,장전동,72,1,2
부산진,35621.0,33707.5,39.56,3,1,동구,초량동,20,0,0
부암,29953.2,27180.7,43.9,2,2,부산진구,부전동,155,0,0
부전,80377.7,84630.5,100.11,3,1,부산진구,부전동,155,0,0
사상,107171.1,108267.8,219.51,6,2,사상구,괘법동,46,1,0
사직,36827.0,37217.0,13.58,1,3,동래구,사직동,101,0,0
서동,11066.9,11808.0,12.35,1,4,금정구,서동,72,0,0
석대,867.2,664.0,10.36,1,4,해운대구,석대동,148,0,0
센텀시티,93263.2,92047.0,326.33,9,2,해운대구,우동,148,0,0
수안,18057.1,18481.2,61.66,1,4,동래구,수안동,101,0,0
시청,71480.7,69839.7,95.02,4,1,연제구,연산동,67,0,0
신장림,16148.0,15358.8,77.57,1,1,사하구,장림동,78,0,0
